"","PLOT","QUAD","MAPLE","ASH","OAK","TYPE","OAK_ft"
"3",3,"NorthWest",0,24005,120023,"Oak",52.210005
"15",170,"SouthWest",0,26614,558900,"Oak",243.1215
"4",4,"SouthEast",1080711,71752,384880,"Maple",167.4228
"11",165,"NorthEast",0,282143,0,"Ash",0
"14",169,"NorthEast",0,115932,1138677,"Oak",495.324495
"17",173,"SouthWest",358173,53229,0,"Maple",0
"16",172,"SouthWest",14079,14079,28159,"Oak",12.249165
"10",10,"SouthWest",0,87572,58382,"Ash",25.39617
"13",168,"NorthWest",0,323024,24005,"Ash",10.442175
"18",174,"NorthWest",0,0,27075,"Oak",11.777625
