"PLOT","QUAD","MAPLE","ASH","OAK","TYPE"
1,"SouthWest",227146,0,20650,"Maple"
2,"SouthEast",25649,25649,51299,"Oak"
3,"NorthWest",0,24005,120023,"Oak"
4,"SouthEast",1080711,71752,384880,"Maple"
5,"SouthEast",421935,0,25649,"Maple"
6,"NorthEast",21810,0,0,"Maple"
7,"SouthWest",0,299388,216308,"Ash"
8,"NorthWest",0,0,1617109,"Oak"
9,"SouthWest",438016,0,266143,"Maple"
10,"SouthWest",0,87572,58382,"Ash"
165,"NorthEast",0,282143,0,"Ash"
166,"SouthEast",0,48914,24457,"Ash"
168,"NorthWest",0,323024,24005,"Ash"
169,"NorthEast",0,115932,1138677,"Oak"
170,"SouthWest",0,26614,558900,"Oak"
172,"SouthWest",14079,14079,28159,"Oak"
173,"SouthWest",358173,53229,0,"Maple"
174,"NorthWest",0,0,27075,"Oak"
175,"SouthWest",395807,0,35268,"Maple"
176,"SouthWest",42238,364646,0,"Ash"
